,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
300,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999999,0.999998,0.999998,0.999998,0.999997,0.999995,0.999994,0.999992,0.999990,0.999988,0.999985,0.999983,0.999979,0.999975,0.999971,0.999965,0.999959,0.999953,0.999945,0.999938,0.999929,0.999919,0.999911,0.999897,0.999886,0.999874,0.999858,0.999836,0.999829,0.999816,0.999791,0.999772,0.999743,0.999734,0.999688,0.999673,0.999655,0.999626,0.999598,0.999544,0.999537,0.999447,0.999466,0.999427,0.999376,0.999334,0.999313,0.999230,0.999238,0.999169,0.999128,0.999038,0.998977,0.998962,0.998905,0.998916,0.998828,0.998150,0.998541,0.998316,0.998061,0.998275,0.998297,0.998191,0.997209,0.997699,0.997984,0.996646,0.997109,0.995376,0.995934,0.996164,0.996752,0.996784,0.996265,0.991673,0.993897,0.988509,0.992731,0.994736,0.960748,0.985998,0.999907,0.513353,0.556054
299,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999999,0.999998,0.999998,0.999997,0.999997,0.999995,0.999994,0.999992,0.999990,0.999988,0.999985,0.999982,0.999978,0.999975,0.999970,0.999963,0.999958,0.999952,0.999943,0.999936,0.999926,0.999917,0.999908,0.999894,0.999882,0.999871,0.999854,0.999831,0.999824,0.999811,0.999786,0.999766,0.999736,0.999727,0.999680,0.999664,0.999647,0.999617,0.999589,0.999533,0.999526,0.999434,0.999454,0.999413,0.999362,0.999319,0.999297,0.999213,0.999220,0.999151,0.999108,0.999017,0.998955,0.998939,0.998881,0.998893,0.998803,0.998113,0.998511,0.998282,0.998023,0.998240,0.998263,0.998155,0.997157,0.997655,0.997944,0.996586,0.997056,0.995298,0.995864,0.996097,0.996694,0.996727,0.996200,0.991549,0.993800,0.988348,0.992618,0.994648,0.960367,0.985803,0.999904,0.513353,0.556054
298,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999999,0.999998,0.999998,0.999997,0.999997,0.999995,0.999993,0.999992,0.999989,0.999987,0.999984,0.999981,0.999978,0.999974,0.999969,0.999962,0.999957,0.999950,0.999941,0.999935,0.999924,0.999914,0.999905,0.999891,0.999879,0.999867,0.999850,0.999827,0.999820,0.999805,0.999780,0.999760,0.999729,0.999720,0.999672,0.999656,0.999638,0.999607,0.999578,0.999521,0.999514,0.999421,0.999441,0.999399,0.999347,0.999303,0.999281,0.999195,0.999203,0.999132,0.999089,0.998996,0.998933,0.998916,0.998857,0.998869,0.998777,0.998075,0.998480,0.998248,0.997985,0.998205,0.998229,0.998118,0.997104,0.997610,0.997904,0.996525,0.997002,0.995219,0.995793,0.996029,0.996635,0.996668,0.996134,0.991423,0.993701,0.988184,0.992502,0.994559,0.959983,0.985604,0.999901,0.513353,0.556054
297,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999998,0.999997,0.999997,0.999996,0.999994,0.999993,0.999991,0.999989,0.999987,0.999984,0.999981,0.999977,0.999973,0.999968,0.999961,0.999955,0.999949,0.999940,0.999933,0.999922,0.999912,0.999903,0.999888,0.999876,0.999863,0.999846,0.999822,0.999815,0.999800,0.999774,0.999754,0.999722,0.999713,0.999663,0.999647,0.999629,0.999597,0.999568,0.999510,0.999503,0.999407,0.999427,0.999385,0.999332,0.999287,0.999264,0.999177,0.999185,0.999113,0.999068,0.998974,0.998910,0.998893,0.998833,0.998845,0.998751,0.998037,0.998449,0.998213,0.997945,0.998170,0.998193,0.998081,0.997051,0.997565,0.997863,0.996463,0.996947,0.995138,0.995720,0.995960,0.996575,0.996608,0.996066,0.991295,0.993601,0.988017,0.992384,0.994468,0.959595,0.985403,0.999898,0.513353,0.556054
296,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999998,0.999997,0.999997,0.999996,0.999994,0.999993,0.999991,0.999989,0.999986,0.999983,0.999980,0.999976,0.999972,0.999967,0.999960,0.999954,0.999947,0.999938,0.999930,0.999919,0.999909,0.999900,0.999885,0.999872,0.999859,0.999842,0.999817,0.999810,0.999795,0.999768,0.999747,0.999715,0.999706,0.999655,0.999638,0.999619,0.999587,0.999557,0.999498,0.999491,0.999393,0.999414,0.999371,0.999317,0.999271,0.999247,0.999158,0.999166,0.999093,0.999048,0.998951,0.998886,0.998869,0.998808,0.998820,0.998725,0.997998,0.998417,0.998177,0.997905,0.998133,0.998157,0.998043,0.996996,0.997518,0.997822,0.996399,0.996891,0.995056,0.995646,0.995889,0.996513,0.996548,0.995997,0.991165,0.993499,0.987849,0.992265,0.994375,0.959203,0.985199,0.999895,0.513353,0.556054
295,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999997,0.999997,0.999997,0.999996,0.999994,0.999993,0.999991,0.999988,0.999986,0.999983,0.999979,0.999975,0.999971,0.999965,0.999958,0.999952,0.999945,0.999936,0.999928,0.999917,0.999906,0.999897,0.999881,0.999868,0.999855,0.999837,0.999812,0.999804,0.999789,0.999762,0.999741,0.999707,0.999698,0.999646,0.999629,0.999610,0.999577,0.999547,0.999486,0.999478,0.999379,0.999400,0.999356,0.999301,0.999254,0.999230,0.999139,0.999148,0.999073,0.999027,0.998928,0.998862,0.998845,0.998782,0.998795,0.998698,0.997959,0.998385,0.998140,0.997864,0.998096,0.998120,0.998004,0.996940,0.997471,0.997779,0.996335,0.996834,0.994973,0.995571,0.995818,0.996451,0.996486,0.995928,0.991034,0.993396,0.987678,0.992144,0.994281,0.958808,0.984992,0.999892,0.513353,0.556054
294,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999997,0.999997,0.999997,0.999996,0.999994,0.999992,0.999990,0.999988,0.999985,0.999982,0.999979,0.999974,0.999970,0.999964,0.999957,0.999951,0.999944,0.999934,0.999926,0.999915,0.999903,0.999894,0.999878,0.999865,0.999851,0.999833,0.999807,0.999799,0.999783,0.999755,0.999734,0.999700,0.999690,0.999637,0.999620,0.999600,0.999567,0.999535,0.999473,0.999466,0.999364,0.999386,0.999341,0.999284,0.999237,0.999213,0.999120,0.999128,0.999052,0.999005,0.998905,0.998837,0.998820,0.998756,0.998769,0.998670,0.997918,0.998352,0.998103,0.997823,0.998058,0.998083,0.997965,0.996884,0.997423,0.997736,0.996269,0.996776,0.994889,0.995495,0.995745,0.996388,0.996423,0.995857,0.990900,0.993291,0.987505,0.992021,0.994186,0.958409,0.984783,0.999889,0.513353,0.556054
293,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999997,0.999997,0.999997,0.999996,0.999994,0.999992,0.999990,0.999987,0.999985,0.999981,0.999978,0.999973,0.999969,0.999963,0.999956,0.999949,0.999942,0.999932,0.999924,0.999912,0.999901,0.999890,0.999874,0.999861,0.999847,0.999828,0.999802,0.999794,0.999777,0.999749,0.999727,0.999692,0.999682,0.999628,0.999610,0.999590,0.999556,0.999524,0.999460,0.999453,0.999349,0.999371,0.999325,0.999268,0.999219,0.999195,0.999100,0.999109,0.999031,0.998983,0.998881,0.998812,0.998794,0.998730,0.998743,0.998642,0.997877,0.998318,0.998065,0.997780,0.998019,0.998045,0.997925,0.996826,0.997374,0.997692,0.996203,0.996717,0.994803,0.995417,0.995670,0.996323,0.996359,0.995784,0.990764,0.993184,0.987329,0.991896,0.994088,0.958006,0.984570,0.999885,0.513353,0.556054
292,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999997,0.999997,0.999997,0.999996,0.999993,0.999992,0.999989,0.999987,0.999984,0.999981,0.999977,0.999973,0.999968,0.999962,0.999954,0.999948,0.999940,0.999930,0.999921,0.999909,0.999898,0.999887,0.999871,0.999857,0.999843,0.999823,0.999796,0.999788,0.999771,0.999742,0.999719,0.999684,0.999674,0.999618,0.999600,0.999580,0.999545,0.999512,0.999447,0.999440,0.999334,0.999356,0.999310,0.999251,0.999201,0.999176,0.999080,0.999089,0.999009,0.998961,0.998857,0.998787,0.998768,0.998702,0.998716,0.998613,0.997835,0.998284,0.998026,0.997737,0.997980,0.998006,0.997884,0.996767,0.997324,0.997646,0.996135,0.996657,0.994715,0.995338,0.995595,0.996257,0.996294,0.995711,0.990627,0.993076,0.987151,0.991769,0.993990,0.957600,0.984355,0.999882,0.513353,0.556054
291,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.999999,0.999998,0.999997,0.999997,0.999996,0.999995,0.999993,0.999991,0.999989,0.999986,0.999984,0.999980,0.999976,0.999972,0.999967,0.999961,0.999953,0.999946,0.999938,0.999927,0.999919,0.999907,0.999895,0.999884,0.999867,0.999853,0.999838,0.999818,0.999790,0.999782,0.999765,0.999735,0.999712,0.999676,0.999665,0.999609,0.999590,0.999569,0.999534,0.999500,0.999434,0.999426,0.999318,0.999341,0.999293,0.999233,0.999183,0.999157,0.999059,0.999068,0.998987,0.998938,0.998832,0.998760,0.998742,0.998675,0.998688,0.998584,0.997792,0.998248,0.997986,0.997693,0.997939,0.997966,0.997842,0.996707,0.997273,0.997601,0.996065,0.996596,0.994626,0.995258,0.995518,0.996190,0.996227,0.995636,0.990487,0.992965,0.986970,0.991640,0.993889,0.957190,0.984136,0.999878,0.513353,0.556054
