WESPA Titles as at 1 Jan 2026
State Title Name Norms
CAN GM Adam Logan --
ARE GM Akshay Bhandarkar --
NZL GM Alastair Richards --
AUS GM Andrew Fisher --
USA GM Austin Shin --
ENG GM Brett Smitheram --
THA GM Chollapat Itthiaree --
AUS GM Chris May --
AUS GM David Eldar --
USA GM David Wiegand --
ENG GM Harshan Lamabadusuri --
SGP GM Hubert Wee --
USA GM Jesse Day --
THA GM Komol Panyasoponlert --
ENG GM Lewis Mackay --
IND GM Madhav Gopal Kamath --
ENG GM Mark Nyman --
THA GM Napat Vatjaranuratho --
NZL GM Nigel Richards --
NIR GM Paul Gallen --
IND GM Sherwin Rodrigues --
THA GM Thacha Koowirat --
SGP GM Toh Weibin --
PAK GM Waseem Khatri --
NGA GM Wellington Jighere --
IND IM Aditya Iyengar **
USA IM Ben Schoenbrun **
NGA IM Eta Karo **
USA IM Joshua Castellano **
IRE IM Kevin McMahon **
CAN IM Matthew Tunnicliffe **
AUS IM Cameron Farlow *
ENG IM Craig Beevers *
NGA IM Doko Oluwatimilehin *
AUS IM Edward Okulicz *
USA IM Evans Clinchy *
THA IM Jakkrit Klaphajone *
NGA IM Jimoh Abdulmumin *
IRE IM Lukeman Owolabi *
THA IM Panupol Sujjayakorn *
AUS IM Peter Kougi *
AUS IM Russell Honeybun *
USA IM Will Anderson *
LKA IM Adheesha Dissanayake --
PAK IM Affan Salman --
THA IM Akegapun Erbprasarts --
THA IM Akkarapol Kwhansak --
PAK IM Ali Salman --
KEN IM Allan Oyende --
AUS IM Anand Bharadwaj --
THA IM Apirat Choomai --
THA IM Atiruth Sakdiyakorn --
NGA IM Ayorinde Saidu --
HKG IM Brian Po --
THA IM Chaiyottha Manachai --
USA IM Chris Lipe --
USA IM Conrad Bassett-Bouch --
AUS IM Daniel Piechnick --
USA IM David Koenig --
ENG IM David Webb --
NGA IM Dennis Ikekeregor --
NZL IM Dylan Early --
UGA IM Edgar Odongkara --
SWE IM Edward Martin --
ENG IM Elie Dangoor --
NGA IM Emmanuel Umujose --
NGA IM Enoch Nwali --
AUS IM Esther Perrins --
HKG IM Euclid Hui --
CAN IM Evan Berofsky --
NGA IM Ezinore George --
USA IM Geoff Thevenot --
KEN IM Gitonga Nderitu --
NGA IM Godwin Victor --
SGP IM Goutham Jayaraman --
PAK IM Hammad Hadi Khan --
PAK IM Hasham Hadi Khan --
PAK IM Hassan Hadi Khan --
SCO IM Helen Gipson --
NZL IM Howard Warner --
BHR IM Irfan Siddiqui --
IND IM Ishika Shivalingaiah --
AUS IM Jakob Teitelbaum --
ENG IM Jason Carney --
USA IM Jason Keller --
SGP IM Jeremy Khoo --
CAN IM Joel Wapnick --
NGA IM John Aiyedun --
ENG IM John Ashmore --
USA IM John O'Laughlin --
CAN IM Josh Sokol --
MYS IM Khoo Beng Way --
SGP IM Liew Kian Boon --
SGP IM Marlon Prudencio --
KEN IM Martins Mutahi --
USA IM Matthew O'Connor --
KEN IM Michael Gongolo --
GBR IM Mikki Nicholson --
PAK IM Moiz Ullah Baig --
NGA IM Moses Peter --
USA IM Nathan Benedict --
THA IM Nattapat Nak-in --
AUS IM Naween Fernando --
SCO IM Neil Scott --
THA IM Nopparuj Tipkaew --
NGA IM Nsikak Etim --
THA IM Nuti Suri --
NGA IM Okiemute Tega --
NGA IM Olatunde Oduwole --
NGA IM Oshevire Avwenagha --
THA IM Pakorn Nemitrmansuk --
SCO IM Paul Allan --
USA IM Peter Armstrong --
ENG IM Phil Robertshaw --
POL IM Piotr Andronowski --
NGA IM Prince Omosefe --
THA IM Puttapong Moonsarn --
USA IM Rasheed Balogun --
UGA IM Richard Geria --
NIR IM Rik Kennedy --
USA IM Rob Robinsky --
